@relation dokumenty
@attribute _title string
@attribute content string
@data
"org e-Print archive httpsarxivorg  Page 11","arXiv org e-Print archive https  arxiv org   Page   https  static arxiv org icons close-slider png  Donate to arXivPlease join the Simons Foundation and our generous member organizations insupporting arXiv during our giving campaign  of your contribution willfund improvements and new initiatives to benefit arXiv's global scientificcommunity  DONATE  secure site no need to create account   https  webstats arxiv org matomo php?idsite= rec=  Cornell University https  static arxiv org icons cu cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv orgLoginAll fields Title Author s Abstract Comments Journal reference ACMclassification MSC classification Report number arXiv identifier DOI ORCIDarXiv author ID Help pages Full text Help  Advanced search Open access to  e-prints in the fields of physics mathematics computer science quantitative biology quantitative finance statistics electrical engineering and systems science and economics Submissions toarXiv should conform to Cornell University academic standards arXiv is ownedand operated by Cornell University a private not-for-profit educationalinstitution arXiv is funded by Cornell University the Simons Foundation andby the member institutions  Subject search and browse  Physics Mathematics Quantitative BiologyComputer Science Quantitative Finance Statistics Electrical Engineering andSystems Science Economics Apr  Support arXiv with a donation  Jan  The annual update from the arXiv team is now available  Sept  arXiv looks to the future with move to Cornell CIS See cumulative What's New pages Read robots beware before attempting anyautomated download  Physics  Astrophysics   astro-ph  new recent search  includes Astrophysics of Galaxies Cosmology and Nongalactic Astrophysics Earth and Planetary Astrophysics High Energy Astrophysical Phenomena Instrumentation and Methods for Astrophysics Solar and Stellar Astrophysics  Condensed Matter   cond-mat  new recent search  includes Disordered Systems and Neural Networks Materials Science Mesoscaleand Nanoscale Physics Other Condensed Matter Quantum Gases Soft CondensedMatter Statistical Mechanics Strongly Correlated Electrons Superconductivity  General Relativity and Quantum Cosmology   gr-qc  new recent search   High Energy Physics - Experiment   hep-ex  new recent search   High Energy Physics - Lattice   hep-lat  new recent search   High Energy Physics - Phenomenology   hep-ph  new recent search   High Energy Physics - Theory   hep-th  new recent search   Mathematical Physics   math-ph  new recent search   Nonlinear Sciences   nlin  new recent search  includes Adaptation and Self-Organizing Systems Cellular Automata andLattice Gases Chaotic Dynamics Exactly Solvable and Integrable Systems Pattern Formation and Solitons  Nuclear Experiment   nucl-ex  new recent search   Nuclear Theory   nucl-th  new recent search   Physics   physics  new recent search  includes Accelerator Physics Applied Physics Atmospheric and OceanicPhysics Atomic and Molecular Clusters Atomic Physics Biological Physics Chemical Physics Classical Physics Computational Physics Data Analysis Statistics and Probability Fluid Dynamics General Physics Geophysics History and Philosophy of Physics Instrumentation and Detectors MedicalPhysics Optics Physics and Society Physics Education Plasma Physics Popular Physics Space Physics  Quantum Physics   quant-ph  new recent search   Mathematics  Mathematics   math  new recent search  includes see detailed description  Algebraic Geometry Algebraic Topology Analysis of PDEs Category Theory Classical Analysis and ODEs Combinatorics Commutative Algebra Complex Variables Differential Geometry DynamicalSystems Functional Analysis General Mathematics General Topology GeometricTopology Group Theory History and Overview Information Theory K-Theory andHomology Logic Mathematical Physics Metric Geometry Number Theory Numerical Analysis Operator Algebras Optimization and Control Probability Quantum Algebra Representation Theory Rings and Algebras Spectral Theory Statistics Theory Symplectic Geometry  Computer Science  Computing Research Repository   CoRR  new recent search  includes see detailed description  Artificial Intelligence Computation andLanguage Computational Complexity Computational Engineering Finance andScience Computational Geometry Computer Science and Game Theory ComputerVision and Pattern Recognition Computers and Society Cryptography andSecurity Data Structures and Algorithms Databases Digital Libraries Discrete Mathematics Distributed Parallel and Cluster Computing EmergingTechnologies Formal Languages and Automata Theory General Literature Graphics Hardware Architecture Human-Computer Interaction InformationRetrieval Information Theory Logic in Computer Science Machine Learning Mathematical Software Multiagent Systems Multimedia Networking and InternetArchitecture Neural and Evolutionary Computing Numerical Analysis OperatingSystems Other Computer Science Performance Programming Languages Robotics Social and Information Networks Software Engineering Sound SymbolicComputation Systems and Control  Quantitative Biology  Quantitative Biology   q-bio  new recent search  includes see detailed description  Biomolecules Cell Behavior Genomics Molecular Networks Neurons and Cognition Other Quantitative Biology Populations and Evolution Quantitative Methods Subcellular Processes Tissues and Organs  Quantitative Finance  Quantitative Finance   q-fin  new recent search  includes see detailed description  Computational Finance Economics GeneralFinance Mathematical Finance Portfolio Management Pricing of Securities Risk Management Statistical Finance Trading and Market Microstructure  Statistics  Statistics   stat  new recent search  includes see detailed description  Applications Computation MachineLearning Methodology Other Statistics Statistics Theory  Electrical Engineering and Systems Science  Electrical Engineering and Systems Science   eess  new recent search  includes see detailed description  Audio and Speech Processing Image andVideo Processing Signal Processing  Economics  Economics   econ  new recent search  includes see detailed description  Econometrics General Economics Theoretical Economics    About arXiv  General information and Scientific Advisory Board  Support and Governance Model and Member Advisory Board  Find view email alerts and RSS feeds  Submission and moderation details  Usage statistics and news  See also searchable help pages  About arXiv  Leadership Team  __Contact Us  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Log in to    e-print repository httpsarxivorglogin2","Log in to arXiv  arXiv e-print repository https  arxiv org login  Page   https  webanalytics library cornell edu piwik php?idsite= rec=  Cornell University https  arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLoginAccounts v released --  Log in to arXiv orgIf you're already registeredUsername or e-mailPasswordForgot your password?  If you've never logged in to arXiv orgRegister for the first timeRegistration is required to submit or update papers   About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearch  P3","Search  arXiv e-print repository https  arxiv org search  Page   https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Search   e-print repository httpsarxivorgsearch?qu4","Search  arXiv e-print repository https  arxiv org search?query= =  Page   https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  SearchSearch v released --  Feedback?Search term or termsField All fieldsTitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierDOIORCIDLicense URI arXiv author IDHelp pagesFull textSearchShow abstracts Hide abstractsAdvanced Search   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
" Help Contents   e-print repository httpsarxivorgh5","arXiv Help Contents  arXiv e-print repository https  arxiv org help  Page   https  webanalytics library cornell edu piwik php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLoginSearch HelpSearch  arXiv   Help   arXiv Help Contents  arXiv Help Contents  General Information  arXiv Primer  arXiv Help Frequently Asked Questions  Searching and Browsing  To Find an Article  Viewing Articles  Configuring Your Browser for Downloads  Cookie Configuration  Utilities tar gzip etc   Gzipped files  User Accounts  To Register  The Endorsement System  Protecting your Privacy  Authority Records  The User-ID Password System  To Subscribe to E-Mail Listings  Submission and Revision  To Submit an Article  Terms of submission  To Replace an Article  To Withdraw an Article  To Add a Journal Reference DOI or Report Number to an Article  To Crosslist an Article  The Moderation System  Oversized Submissions  Text Overlap Detection  Miscellaneous  Understanding the arXiv Identifier  Understanding the ORCID iD  Institutional Repository IR Interoperability  Bulk data access  DOI and journal reference updates to arXiv from publishers  ScienceWISE annotation and bookmarking  Usage statistics  Obsolete Macros  MathJax  SSL Support in arXivIf you could not find an answer to your question please contact arXivadministrators arXiv Help Contents revision   Last modified -- Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
"Advanced Search   e-print repository httpsarxivorg6","Advanced Search  arXiv e-print repository https  arxiv org search advanced  Page   https  webstats arxiv org matomo php?idsite= rec=  CornellUniversity https  static arxiv org static base  images cornell-reduced-white-SMALL svg We gratefully acknowledge support from the Simons Foundation and member institutions  arXiv https  static arxiv org static base  images arxiv-logo-web svg Help  Advanced SearchAll fields Title Author Abstract Comments Journal reference ACM classificationMSC classification Report number arXiv identifier DOI ORCID arXiv author IDHelp pages Full textSearchLogin  Advanced SearchSearch v released --  Feedback?Simple SearchBoolean operator ANDORNOTSearch termField to search TitleAuthor s AbstractCommentsJournal referenceACMclassificationMSC classificationReport numberarXiv identifierCross-listcategoryDOIORCIDarXiv author IDAll fields��Add another term \+SubjectAll classifications will be included by default Computer Science cs Economics econ Electrical Engineering and Systems Science eess Mathematics math PhysicsSubtopic within physics allastro-phcond-matgr-qchep-exhep-lathep-phhep-thmath-phnlinnucl-exnucl-thphysicsquant-phQuantitative Biology q-bio Quantitative Finance q-fin Statistics stat Include cross-listed papers Exclude cross-listed papersDateAll datesPast monthsSpecific yearEnter four digit yearDate rangeFromtoWhen limiting by date range the lower bound of the from date and the upperbound of the to date are used  For example searching with `From -` and `To ` will search forpapers submitted from `--` to `--`   Submission date most recent  Submission date original  Announcement dateYou may filter on either submission date or announcement date Note thatannouncement date supports only year and month granularity Show abstracts Hide abstractsresults per pageInclude older versions of papersSearch   Searching by Author Name  Using the  Author s field  produces best results for author name searches   For the most precise name search follow  surname s  forename s  or  surname s  initial s  pattern example Hawking S or Hawking Stephen  For best results on multiple author names  separate individuals with a   semicolon  Example Jin D S Ye J  Author names enclosed in quotes will return only  exact matches  For example  Stephen Hawking will not return matches for Stephen W Hawking   Diacritic character variants are automatically searched in the Author s field   Queries with no punctuation will treat each term independently  TipsWildcards   Use ? to replace a single character or  to replace any number of characters   Can be used in any field but not in the first character position See Journal References tips for exceptions Expressions   TeX expressions can be searched enclosed in single  characters Phrases   Enclose phrases in double quotes for exact matches in title abstract and comments Dates   Sorting by announcement date will use the year and month the _original version_ v of the paper was announced   Sorting by submission date will use the year month and day the _latest version_ of the paper was submitted Journal References   If a journal reference search contains a wildcard matches will be made using wildcard matching as expected For example  math  will match _math_  _maths_  _mathematics_   If a journal reference search does  not  contain a wildcard only exact phrases entered will be matched For example  math  would match _math_ or _math and science_ but not _maths_ or _mathematics_   All journal reference searches that do not contain a wildcard are literal searches a search for  Physica A  will match all papers with journal references containing _Physica A_  but a search for  Physica A     will only return the paper with journal reference _Physica A   _ Search v released --  Feedback?  About arXiv  Leadership Team  __Contact  __Follow us on Twitter  Help  Privacy Policy  Blog  SubscribearXiv® is a registered trademark of Cornell University If you have a disability and are having trouble accessing information on thiswebsite or need materials in an alternate format contact web-accessibility cornell edu for assistance "
